time,q,x
15/11/2018 03:48,57.3614,54.1075
15/11/2018 03:51,56.987,55.6394
15/11/2018 03:54,56.2797,56.0719
15/11/2018 03:57,55.3654,56.5524
15/11/2018 04:00,54.4834,56.7327
15/11/2018 04:03,53.5448,56.8947
15/11/2018 04:06,53.6262,45.9308
15/11/2018 04:09,55.6218,44.216568
15/11/2018 04:12,58.0093,54.2239
15/11/2018 04:15,57.3617,55.8746
15/11/2018 04:18,56.2084,56.167603
15/11/2018 04:21,55.1542,56.5869
15/11/2018 04:24,54.1459,56.759003
15/11/2018 04:27,53.1873,56.8599
15/11/2018 04:30,52.7533,46.6464
15/11/2018 04:33,52.9569,44.84762
15/11/2018 04:36,55.7337,44.11449
15/11/2018 04:39,57.9007,54.320198
15/11/2018 04:42,57.102,55.8073
15/11/2018 04:45,55.8321,56.1382
15/11/2018 04:48,54.532,56.7154
15/11/2018 04:51,53.4028,56.7252
15/11/2018 04:54,52.3203,56.8819
15/11/2018 04:57,51.4,56.872
15/11/2018 05:00,50.6115,56.836
15/11/2018 05:03,50.7832,46.9729
15/11/2018 05:06,51.8697,45.1942
15/11/2018 05:09,55.3338,43.87933
15/11/2018 05:12,57.2271,43.68399
15/11/2018 05:15,56.9197,53.534798
15/11/2018 05:18,56.2522,54.8783
15/11/2018 05:21,55.6882,55.3601
15/11/2018 05:24,54.9946,55.605
15/11/2018 05:27,54.196,55.8521
15/11/2018 05:30,53.4484,55.8961
15/11/2018 05:33,53.3003,46.132698
15/11/2018 05:36,53.7329,44.53854
15/11/2018 05:39,56.7998,46.8884
15/11/2018 05:42,57.6523,54.056
15/11/2018 05:45,56.5493,55.0567
15/11/2018 05:48,55.4604,55.445602
15/11/2018 05:51,54.7531,55.9123
15/11/2018 05:54,53.9867,56.0676
15/11/2018 05:57,53.828,45.997902
15/11/2018 06:00,54.1753,44.41158
15/11/2018 06:03,57.3165,44.12854
15/11/2018 06:06,60.1885,43.63342
15/11/2018 06:09,61.6994,43.32997
15/11/2018 06:12,63.5816,43.16965
15/11/2018 06:15,64.8933,52.6254
15/11/2018 06:18,65.9551,44.43489
15/11/2018 06:21,67.3945,42.78302
15/11/2018 06:24,67.4031,53.972702
15/11/2018 06:27,66.7811,55.605103
15/11/2018 06:30,65.8722,56.0176
15/11/2018 06:33,65.004,56.5754
15/11/2018 06:36,64.0717,56.777397
15/11/2018 06:39,63.1338,56.8592
15/11/2018 06:42,62.1083,56.8854
15/11/2018 06:45,60.9874,57.0064
15/11/2018 06:48,60.1181,57.0169
15/11/2018 06:51,60.1097,46.1634
15/11/2018 06:54,61.438,44.40326
15/11/2018 06:57,65.1271,44.01957
15/11/2018 07:00,66.9935,43.85309
15/11/2018 07:03,67.2216,53.9902
15/11/2018 07:06,66.4763,55.5197
15/11/2018 07:09,65.3334,56.0084
15/11/2018 07:12,64.4525,56.4957
15/11/2018 07:15,63.4047,56.7211
15/11/2018 07:18,62.3592,56.8021
15/11/2018 07:21,61.533,56.7806
15/11/2018 07:24,60.7005,56.964
15/11/2018 07:27,60.1901,47.092
15/11/2018 07:30,60.3303,45.3891
15/11/2018 07:33,63.7842,44.928032
15/11/2018 07:36,66.5756,44.66196
15/11/2018 07:39,67.6545,44.414032
15/11/2018 07:42,69.3284,44.1191
15/11/2018 07:45,70.5518,53.3778
15/11/2018 07:48,70.103,55.2816
15/11/2018 07:51,69.3169,55.814
15/11/2018 07:54,68.4668,56.331
15/11/2018 07:57,67.5195,56.5577
15/11/2018 08:00,66.5716,56.843002
15/11/2018 08:03,65.6968,56.8404
15/11/2018 08:06,65.0872,46.7035
15/11/2018 08:09,66.3265,44.88044
15/11/2018 08:12,69.1084,44.29721
15/11/2018 08:15,68.7929,54.700798
15/11/2018 08:18,67.7968,55.9343
15/11/2018 08:21,66.8004,56.3703
15/11/2018 08:24,65.9252,56.808098
15/11/2018 08:27,65.1223,56.9103
15/11/2018 08:30,64.1579,56.8788
15/11/2018 08:33,63.1974,56.9581
15/11/2018 08:36,62.7141,46.6858
15/11/2018 08:39,64.1941,43.37617
15/11/2018 08:42,67.4819,54.3158
15/11/2018 08:45,67.3126,55.627
15/11/2018 08:48,65.9678,55.2817
15/11/2018 08:51,64.9129,55.780098
15/11/2018 08:54,64.2,55.9067
15/11/2018 08:57,63.6415,56.96
15/11/2018 09:00,64.836,44.66621
15/11/2018 09:03,66.9128,43.35226
15/11/2018 09:06,66.3652,56.5602
15/11/2018 09:09,65.1166,57.2983
15/11/2018 09:12,63.4404,58.1615
15/11/2018 09:15,62.1332,58.4304
15/11/2018 09:18,60.9563,58.4028
15/11/2018 09:21,62.5128,41.74277
15/11/2018 09:24,66.011,42.20567
15/11/2018 09:27,67.2635,54.4874
